GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Library,aboodZaidLibrary,clsUser.enPermissions,0,42,0,0,0,7,0,3,0,3
Library,aboodZaidLibrary,clsEncryption,3,80,0,8,1,14,1,6,1,2
Library,aboodZaidLibrary,clsReminderService,59,470,5,35,9,96,6,23,1,8
Library,aboodZaidLibrary,clsAdminMainScreen.enMainMenuOptions,0,56,0,0,0,9,0,3,0,3
Library,aboodZaidLibrary,clsCD.enSaveResults,0,21,0,0,0,4,0,1,0,1
Library,aboodZaidLibrary,clsReminderService.new Authenticator() {...},0,9,0,0,0,2,0,2,0,2
Library,aboodZaidLibrary,clsCD,20,331,7,25,9,79,7,33,0,23
Library,aboodZaidLibrary,clsPerson,0,56,0,0,0,19,0,10,0,10
Library,aboodZaidLibrary,clsBook,44,499,9,37,24,135,9,44,0,29
Library,aboodZaidLibrary,clsManageUsersMenuScreen.enManageUsersMenuOptions,0,56,0,0,0,11,0,3,0,3
Library,aboodZaidLibrary,clsUserBooksMenuScreen.enBooksMenuOptions,0,56,0,0,0,9,0,3,0,3
Library,aboodZaidLibrary,clsDate,0,1559,0,144,0,249,0,125,0,53
Library,aboodZaidLibrary,clsFine.FineRow,0,3,0,0,0,1,0,1,0,1
Library,aboodZaidLibrary,clsUser.enSaveResults,0,35,0,0,0,6,0,3,0,3
Library,aboodZaidLibrary,clsUserCDsMenuScreen.enCDMenuOptions,0,56,0,0,0,4,0,3,0,3
Library,aboodZaidLibrary,clsFine,7,364,1,41,1,71,2,26,1,6
Library,aboodZaidLibrary,clsCD.enMode,3,32,0,0,1,5,1,2,1,2
Library,aboodZaidLibrary,clsReminderService.new Authenticator() {...},0,9,0,0,0,2,0,2,0,2
Library,aboodZaidLibrary,clsBook.enMode,3,32,0,0,1,7,1,2,1,2
Library,aboodZaidLibrary,clsBook.enSaveResults,3,32,0,0,1,7,1,2,1,2
Library,aboodZaidLibrary,clsUser.enMode,0,35,0,0,0,6,0,3,0,3
Library,aboodZaidLibrary,clsUserMainScreen.enMainMenuOptions,0,42,0,0,0,7,0,3,0,3
Library,aboodZaidLibrary,clsUserSession,3,5,0,0,1,1,1,1,1,1
Library,aboodZaidLibrary,clsReminderService.LoanRow,0,12,0,0,0,3,0,1,0,1
Library,aboodZaidLibrary,clsUser,38,856,12,76,16,207,12,71,0,38
Library,aboodZaidLibrary,clsUser.clsLoginRegisterRecord,0,3,0,0,0,1,0,1,0,1
Library,aboodZaidLibrary,clsInputValidate,3,69,0,8,1,23,1,13,1,9
Library,aboodZaidLibrary,clsAdminCDsMenuScreen.enCDAdminMenuOptions,0,49,0,0,0,8,0,3,0,3
